repeat,seed,fold,eval_split,model,feature_set,true_label,pred_label,count
1,20260606,2,val,multinomial_logistic,downstream_status,2,3,26
1,20260606,2,val,multinomial_logistic,downstream_status,3,1,26
1,20260606,2,val,multinomial_logistic,downstream_status,3,2,10
1,20260606,2,val,multinomial_logistic,downstream_status,3,3,15
1,20260606,2,test,multinomial_logistic,downstream_status,1,1,29
1,20260606,2,test,multinomial_logistic,downstream_status,1,2,3
1,20260606,2,test,multinomial_logistic,downstream_status,1,3,2
1,20260606,2,test,multinomial_logistic,downstream_status,2,1,68
1,20260606,2,test,multinomial_logistic,downstream_status,2,2,17
1,20260606,2,test,multinomial_logistic,downstream_status,2,3,27
1,20260606,2,test,multinomial_logistic,downstream_status,3,1,26
1,20260606,2,test,multinomial_logistic,downstream_status,3,2,8
1,20260606,2,test,multinomial_logistic,downstream_status,3,3,18
1,20260606,2,val,multinomial_logistic,downstream_plus_age_sex,1,1,26
1,20260606,2,val,multinomial_logistic,downstream_plus_age_sex,1,2,8
1,20260606,2,val,multinomial_logistic,downstream_plus_age_sex,1,3,0
1,20260606,2,val,multinomial_logistic,downstream_plus_age_sex,2,1,25
1,20260606,2,val,multinomial_logistic,downstream_plus_age_sex,2,2,62
1,20260606,2,val,multinomial_logistic,downstream_plus_age_sex,2,3,25
1,20260606,2,val,multinomial_logistic,downstream_plus_age_sex,3,1,16
1,20260606,2,val,multinomial_logistic,downstream_plus_age_sex,3,2,22
1,20260606,2,val,multinomial_logistic,downstream_plus_age_sex,3,3,13
1,20260606,2,test,multinomial_logistic,downstream_plus_age_sex,1,1,27
1,20260606,2,test,multinomial_logistic,downstream_plus_age_sex,1,2,5
1,20260606,2,test,multinomial_logistic,downstream_plus_age_sex,1,3,2
1,20260606,2,test,multinomial_logistic,downstream_plus_age_sex,2,1,31
1,20260606,2,test,multinomial_logistic,downstream_plus_age_sex,2,2,64
1,20260606,2,test,multinomial_logistic,downstream_plus_age_sex,2,3,17
1,20260606,2,test,multinomial_logistic,downstream_plus_age_sex,3,1,17
1,20260606,2,test,multinomial_logistic,downstream_plus_age_sex,3,2,20
1,20260606,2,test,multinomial_logistic,downstream_plus_age_sex,3,3,15
1,20260606,3,val,majority_class,class_prior,1,1,0
1,20260606,3,val,majority_class,class_prior,1,2,34
1,20260606,3,val,majority_class,class_prior,1,3,0
1,20260606,3,val,majority_class,class_prior,2,1,0
1,20260606,3,val,majority_class,class_prior,2,2,112
1,20260606,3,val,majority_class,class_prior,2,3,0
1,20260606,3,val,majority_class,class_prior,3,1,0
1,20260606,3,val,majority_class,class_prior,3,2,51
1,20260606,3,val,majority_class,class_prior,3,3,0
1,20260606,3,val,stratified_random,class_prior,1,1,11
1,20260606,3,val,stratified_random,class_prior,1,2,17
1,20260606,3,val,stratified_random,class_prior,1,3,6
1,20260606,3,val,stratified_random,class_prior,2,1,19
1,20260606,3,val,stratified_random,class_prior,2,2,62
1,20260606,3,val,stratified_random,class_prior,2,3,31
